2022-08-24,Top Gun: Maverick,2022,7,yes
2022-08-28,Lightyear,2022,6.5,yes
2022-08-28,House of Gucci,2021,5.5,yes
2022-09-05,The King,2019,7.5,yes
2022-09-06,Samaritan,2022,4.5,yes
2022-09-10,Thor: Love and Thunder,2022,4,yes
2022-10-06,Slumdog Millionaire,2008,8.5,no
2022-10-10,Hacksaw Ridge,2016,7.5,no
2022-10-15,Alice in Wonderland,1951,7,no
2022-10-20,The Lost City,2022,5.5,yes
2022-10-24,The School for Good and Evil,2022,5.5,yes
2022-11-06,Enola Holmes 2,2022,7,yes
2022-11-10,Black Panther: Wakanda Forever,2022,5.5,yes
2022-11-12,Don't Worry Darling,2022,7.5,yes
2022-11-12,On the Line,2022,5,yes
2022-11-19,Christmas with You,2022,5,yes
2022-11-26,Black Adam,2022,6,yes
2022-11-27,The Swimmers,2022,6,yes
2022-12-03,Warriors of Future,2022,5,yes
2022-12-08,Memory,2022,6,yes
2022-12-11,Boiling Point,2021,7.5,yes
2022-12-12,The Good Nurse,2022,6,yes
2022-12-14,The Woman King,2022,7,yes
2022-12-18,How Do You Know,2010,6,yes
2022-12-23,Glass Onion: A Knives Out Mystery,2022,7,yes
2022-12-30,Roald Dahl's Matilda the Musical,2022,4.5,yes
2023-01-09,The Chronicles of Riddick,2004,8,no
2023-01-15,Fireheart,2022,6,yes
2023-01-21,Ocean's Eleven,2001,7.5,no
2023-01-22,Ocean's Twelve,2004,7.5,no
2023-01-22,Ocean's Thirteen,2007,7,no
2023-01-31,The Takeover,2022,6.5,yes
2023-02-03,The Princess Bride,1987,8,no
2023-02-05,Medieval,2022,6.5,yes
2023-02-09,Akira,1988,7.5,no
2023-02-12,Your Place or Mine,2023,6,yes
2023-02-15,Jung_E,2023,5,yes
2023-02-18,Aliens vs. Predator: Requiem,2007,6,no
2023-02-18,Predators,2010,5,no
2023-02-18,The Predator,2018,6,yes
2023-02-19,Jerry Maguire,1996,7,yes
2023-02-20,Last Seen Alive,2022,5,yes
2023-02-25,Bushwick,2017,5,yes
2023-02-26,Master Z: The Ip Man Legacy,2018,5,yes
2023-02-27,Call Me Chihiro,2023,7.5,yes
2023-02-28,The Subtle Art of Not Giving a F*ck,2023,5.5,yes
2023-03-05,The Greatest Beer Run Ever,2022,6.5,yes
2023-02-11,Unleashed,2005,5,no
2023-03-12,First Knight,1995,6,yes
2023-02-13,Knock at the Cabin,2023,4,yes
2023-03-29,Avatar: The Way of Water,2022,7,yes
2023-04-01,Mummies,2023,3,yes
2023-04-08,Chef,2014,8,no
2023-04-10,Tetris,2023,7.5,yes
2023-04-10,Strange World,2022,5.5,yes
2023-04-12,Hunger,2023,7.5,yes
